Fsi	Fsd	Fsi_l	Fsd_l	tl	th
0.0021575	0.0021575	0	0	128.627	0
0.00196136	0.00196136	0	0	104.248	0
0.00519761	0.00519761	0	0	50.3583	0
0.00304011	0.00304011	0	0	112.06	0
0.00402079	0.00402079	0	0	69.5176	0
0.00529568	0.00529568	0	0	49.7426	0
0.00274591	0.00274591	0	0	114.917	0
0.0046092	0.0046092	0	0	56.451	0
0.00539374	0.00539374	0	0	55.6981	0
0.00362852	0.00362852	0	0	71.6958	0
0.00382465	0.00382465	0	0	69.1958	0
0.0024517	0.0024517	0	0	117.238	0
0.00500147	0.00500147	0	0	75.6266	0
0.00568795	0.00568795	0	0	48.8246	0
0.0070609	0.0070609	0	0	37.2947	0
0.00353045	0.00353045	0	0	95.1143	0
0	0	0	0	185	0
0.0049034	0.0049034	0	0	54.767	0
0.00225557	0.00225557	0	0	121.196	0
0.00117682	0.00117682	0	0	166.917	0
0.00411886	0.00411886	0	0	62.4089	0
0.00294204	0.00294204	0	0	92.2077	0
0.00539374	0.00539374	0	0	49.2361	0
0.00402079	0.00402079	0	0	92.5357	0
0.00431499	0.00431499	0	0	66.4251	0
0.0073551	0.0073551	0	0	36.4493	0
0.00509954	0.00509954	0	0	62.2727	0
0.00421693	0.00421693	0	0	63.2326	0
0.000980681	0.000980681	0	0	140.273	0
0.0021575	0.0021575	0	0	95.1667	0
0.00274591	0.00274591	0	0	115.462	0
0.00598215	0.00598215	0	0	43.5537	0
0.00539374	0.00539374	0	0	53.5425	0
0.00225557	0.00225557	0	0	122.189	0
0.000784544	0.000784544	0	0	153	0
0.00451113	0.00451113	0	0	65.4361	0
0.00431499	0.00431499	0	0	65.1894	0
0.00264784	0.00264784	0	0	113.872	0
0.00568795	0.00568795	0	0	45.2456	0
0.00274591	0.00274591	0	0	90.4701	0
0.00284397	0.00284397	0	0	108.041	0
0.00451113	0.00451113	0	0	58.9735	0
0.0021575	0.0021575	0	0	122.189	0
0.00166716	0.00166716	0	0	113.273	0
0.00519761	0.00519761	0	0	51.451	0
0.00343238	0.00343238	0	0	101.208	0
0.00156909	0.00156909	0	0	164.333	0
0.00176523	0.00176523	0	0	143.488	0
0.00323625	0.00323625	0	0	82.4722	0
0.0024517	0.0024517	0	0	109.901	0
0.00480533	0.00480533	0	0	57.0099	0
0.00441306	0.00441306	0	0	61.6429	0
0.00343238	0.00343238	0	0	79.9786	0
0.00362852	0.00362852	0	0	72.3442	0
0.0046092	0.0046092	0	0	74.7837	0
0.00323625	0.00323625	0	0	77.0779	0
0.00421693	0.00421693	0	0	60.7955	0
0.00382465	0.00382465	0	0	67.0833	0
0.00274591	0.00274591	0	0	99.7937	0
0.00470727	0.00470727	0	0	54.8095	0
0.00264784	0.00264784	0	0	112.357	0
0.00421693	0.00421693	0	0	66.3904	0
0.00847565	0.00696283	0	0	54.1592	0
0.00137295	0.00137295	0	0	167.833	0
0.000784544	0.000784544	0	0	185	0
0.0067667	0.0067667	0	0	40.6966	0
0.00117682	0.00117682	0	0	155.571	0
0.00225557	0.00225557	0	0	118.168	0
0.00451113	0.00451113	0	0	60.8636	0
0.00402079	0.00402079	0	0	78.6851	0
0.00392272	0.00392272	0	0	68.1432	0
0.00392272	0.00392272	0	0	95.65	0
0.0049034	0.0049034	0	0	60.8838	0
0.00107875	0.00107875	0	0	156.405	0
0.00755124	0.00755124	0	0	43.951	0
0.00176523	0.00176523	0	0	146.375	0
0.00529568	0.00529568	0	0	49.7426	0
0.00578602	0.00578602	0	0	44.5901	0
0.00313818	0.00313818	0	0	102.756	0
0.00166716	0.00166716	0	0	119.571	0
0.00274591	0.00274591	0	0	114.917	0
0.00254977	0.00254977	0	0	98.3173	0
0.00402079	0.00402079	0	0	65.0371	0
0.00451113	0.00451113	0	0	59.1137	0
0.00186329	0.00186329	0	0	106.556	0
0.00304011	0.00304011	0	0	86.1645	0
0.00294204	0.00294204	0	0	109.021	0
0.00235363	0.00235363	0	0	120.399	0
0.00205943	0.00205943	0	0	127.644	0
0.00441306	0.00441306	0	0	64.6364	0
0.0046092	0.0046092	0	0	70.3358	0
0.00313818	0.00313818	0	0	87.8409	0
0.00284397	0.00284397	0	0	99.1229	0
0.00451113	0.00451113	0	0	60.8636	0
0.00127488	0.00127488	0	0	161.375	0
0.00549181	0.00549181	0	0	46.4372	0
0.00225557	0.00225557	0	0	121.805	0
0.00127488	0.00127488	0	0	157.556	0
0.00509954	0.00509954	0	0	57.1305	0
0.00411886	0.00411886	0	0	74.0465	0
0.00509954	0.00509954	0	0	67.5018	0
0.00402079	0.00402079	0	0	79.1667	0
0.00186329	0.00186329	0	0	123.389	0
0.00872806	0.00872806	0	0	29.0455	0
0.00654645	0.00250529	0	0	11.6621	0
0.00696283	0.00696283	0	0	38.581	0
0.00205943	0.00205943	0	0	120	0
0.00686476	0.00686476	0	0	37.2147	0
0.00323625	0.00323625	0	0	89.2756	0
0.00451113	0.00451113	0	0	59.9678	0
0.00970874	0.00970874	0	0	49.9749	0
0.00294204	0.00294204	0	0	88.4722	0
0.00588408	0.00588408	0	0	43.3339	0
0.000784544	0.000784544	0	0	148.556	0
0.00421693	0.00421693	0	0	58.5417	0
0.00176523	0.00176523	0	0	108.273	0
0.00598215	0.00598215	0	0	43.1338	0
0.00588408	0.00588408	0	0	48.0476	0
0.00284397	0.00284397	0	0	84.1162	0
0.00372659	0.00372659	0	0	108.25	0
0.00186329	0.00186329	0	0	129.375	0
0.00333431	0.00333431	0	0	108.667	0
0.00441306	0.00441306	0	0	58.5664	0
0.00382465	0.00382465	0	0	77.1732	0
0.00519761	0.00519761	0	0	49.0383	0
0.0049034	0.0049034	0	0	54.7571	0
0.0073551	0.0073551	0	0	34.7631	0
0.00147102	0.00147102	0	0	121.556	0
0.00666863	0.00666863	0	0	40.1513	0
0.00196136	0.00196136	0	0	139.222	0
0.00333431	0.00333431	0	0	105.783	0
0.00353045	0.00353045	0	0	71.804	0
0.00343238	0.00343238	0	0	72.7976	0
0.00333431	0.00333431	0	0	74.4551	0
0.00421693	0.00421693	0	0	61.8718	0
0.00411886	0.00411886	0	0	64.1855	0
0.00509954	0.00509954	0	0	50.1688	0
0.00362852	0.00362852	0	0	69.434	0
0.00509954	0.00509954	0	0	49.6081	0
0.00186329	0.00186329	0	0	129.375	0
0.00686476	0.00686476	0	0	49.4078	0
0.00343238	0.00343238	0	0	73.8636	0
0.00647249	0.00647249	0	0	43.1115	0
0.00343238	0.00343238	0	0	79.6465	0
0.00392272	0.00392272	0	0	66.4146	0
0.00196136	0.00196136	0	0	141.643	0
0.0049034	0.0049034	0	0	56.226	0
0.00843385	0.00843385	0	0	31.7023	0
0.00176523	0.00176523	0	0	133.393	0
0.00539374	0.00539374	0	0	54.2228	0
0.00402079	0.00402079	0	0	61.5481	0
0.00284397	0.00284397	0	0	89.6465	0
0.00421693	0.00421693	0	0	63.447	0
0.00304011	0.00304011	0	0	96.8938	0
0.00500147	0.00500147	0	0	55.6561	0
0.00892419	0.00892419	0	0	50.5322	0
0.00274591	0.00274591	0	0	99.7937	0
0.00549181	0.00549181	0	0	47.6353	0
0.00304011	0.00304011	0	0	80.9848	0
0.00549181	0.00549181	0	0	51.2898	0
0.00451113	0.00451113	0	0	60.997	0
0.00451113	0.00451113	0	0	75.6548	0
0.00617829	0.00617829	0	0	45.5276	0
0.00529568	0.00529568	0	0	52.2968	0
0.00764931	0.00764931	0	0	87.25	0
0.00353045	0.00353045	0	0	72.6894	0
0.0046092	0.0046092	0	0	53.8492	0
0.00117682	0.00117682	0	0	185	0
0.00196136	0.00196136	0	0	118.393	0
0.00254977	0.00254977	0	0	98.4722	0
0.00627636	0.00627636	0	0	45.1452	0
0.00598215	0.00598215	0	0	46.3393	0
0.00205943	0.00205943	0	0	112.698	0
0.00509954	0.00509954	0	0	57.3571	0
0.00353045	0.00353045	0	0	83.1731	0
0.00137295	0.00137295	0	0	147.794	0
0.00509954	0.00509954	0	0	55.0721	0
0.00431499	0.00431499	0	0	67.1111	0
0.00156909	0.00156909	0	0	150.476	0
0.00568795	0.00568795	0	0	46.5749	0
0.00196136	0.00196136	0	0	127.708	0
0.00323625	0.00323625	0	0	104.465	0
0.00470727	0.00470727	0	0	105.322	0
0.0049034	0.0049034	0	0	53.5938	0
0.00294204	0.00294204	0	0	84.0909	0
0.00156909	0.00156909	0	0	139.222	0
0.00411886	0.00411886	0	0	61.2088	0
0.00196136	0.00196136	0	0	107.964	0
0.00205943	0.00205943	0	0	119.901	0
0.00127488	0.00127488	0	0	165.923	0
0.00323625	0.00323625	0	0	101.372	0
0.00441306	0.00441306	0	0	94.7917	0
0.00176523	0.00176523	0	0	117.264	0
0.000392272	0.000392272	0	0	185	0
0.00833579	0.00833579	0	0	96.7579	0
0.00411886	0.00411886	0	0	84.6226	0
0.00470727	0.00470727	0	0	59.5063	0
0.000882613	0.000882613	0	0	185	0
0.00402079	0.00402079	0	0	105.011	0
0.00264784	0.00264784	0	0	120.322	0
0.000980681	0.000980681	0	0	168.091	0
